"item","estimate","SE","quasiSE","quasiVar","worth","lower","upper"
NA,2.89298464633284,0.53949632870695,0.479583820461943,0.230000640848873,18.0470934900851,7.04980782951213,46.1994981021221
NA,1.55302581442878,0.639347741886098,0.402980203840626,0.162393044687433,4.7257478068775,2.14509666128581,10.411042419329
NA,1.38955882455953,0.374009644074712,0.365780930885104,0.133795689399173,4.01307919041293,1.95938020251116,8.21933617982119
NA,1.33598527115228,1.82265005366103,1.30983728413071,1.71567371089891,3.80374181785055,0.291914068569902,49.5640785240207
NA,0.87097538162937,1.82134200681525,1.30346324088447,1.69901642033706,2.38924013830787,0.185664764933357,30.746105436594
NA,0.720117326966899,0.323868478206868,0.420239927254759,0.176601596459085,2.05467426520201,0.901628297885088,4.68229130117818
NA,0.436535785815996,0.633423640410328,0.438904477029365,0.19263713995642,1.54733761424095,0.654609117170931,3.65753184555739
NA,0.408394065880678,1.82127339258044,1.30307468482769,1.69800363423879,1.50439987704033,0.116994036404916,19.3447380702891
NA,0.389263944752944,0.597556359731597,0.301748533880606,0.0910521776990954,1.47589405441871,0.816961603919514,2.66629820718368
NA,0.0471722049306836,1.82255429920392,1.30933312908965,1.7143532429317,1.04830251639926,0.0805303837335837,13.6462551764884
NA,0,0,0.390458254967946,0.152457648872614,1,0.46519519850971,2.14963525677733
NA,-0.136817641926488,0.6218964610514,0.340449896837598,0.115906132256731,0.87212925144204,0.447490737534583,1.69972106106905
NA,-0.143615744924792,0.506833119751644,0.313976197198122,0.0985810524069943,0.866220533754159,0.468130071355519,1.60284087481212
NA,-0.444735647023169,0.556823718386976,0.289433164022547,0.0837715564361025,0.640993702230487,0.363482310158142,1.13037942925031
